22555003  09912KK23456936統一超商總公司                                              22555003  台北市xx區xx街xx號                                                                                  2010/12/05        0000000000951K0001悠遊卡                                                      2222222222                                                      2343234887                                                      0141000020000000000000000NB
23285582  09912EE23456936萊爾富商總公司                                              23285582  台北市X同XX里XX街X段XX號X樓                                                                         2010/12/19        000000000075CG0001Hi-Life會員卡                                               MAC0000104711                                                   MAC0000104711                                                   0240000020000000000000000NA
23285582  09912EE23456717萊爾富商總公司                                              23285582  台北市X同XX里XX街X段XX號X樓                                                                         2010/12/19        0000000000751K0001悠遊卡                                                      3273953823                                                      2331669899                                                      0240100002000000000000000YB
16740494  09912VV23456717全聯超商總公司                                              16740494  台北市松山區xx街xx號                                                                                2010/12/05        000000000346BG0001全聯福利卡TEST                                              1631235611                                                      1631235611                                                      0131100002000000000000000NA
22555003  09912KK23456777統一超商總公司                                              22555003  台北市xx區xx街xx號                                                                                  2010/12/05        0000000000952G0001icash                                                       7101060172074736                                                7101060172074736                                                0140100002000000000000000NB
23285582  09912EE23456777萊爾富商總公司                                              23285582  台北市X同XX里XX街X段XX號X樓                                                                         2010/12/19        0000000000751K0001悠遊卡                                                      3273953823                                                      2331669899                                                      0240100002000000000000000YB
16740494  09912VV23456777全聯超商總公司                                              16740494  台北市松山區xx街xx號                                                                                2010/12/05        000000000346BG0001全聯福利卡TEST                                              1631235611                                                      1631235611                                                      0131100002000000000000000NA
22555003  09912KK23456808統一超商總公司                                              22555003  台北市xx區xx街xx號                                                                                  2010/12/05        0000000000951K0001悠遊卡                                                      1111111111                                                      3273953823                                                      0141100002000000000000000NB
23285582  09912EE23456808萊爾富商總公司                                              23285582  台北市X同XX里XX街X段XX號X樓                                                                         2010/12/19        000000000075CG0001Hi-Life會員卡                                               MAC0000104711                                                   MAC0000104711                                                   0240100002000000000000000NA
22555003  09912KK13456717統一超商總公司                                              22555003  台北市xx區xx街xx號                                                                                  2010/12/05        0000000000952G0001icash                                                       2343299999909090                                                2343299999909090                                                0141200000400000000000000NB
23285582  09912EE13456717萊爾富商總公司                                              23285582  台北市X同XX里XX街X段XX號X樓                                                                         2010/12/19        0000000000751K0001悠遊卡                                                      3273953823                                                      2331669899                                                      0240200000400000000000000YB
22555003  09912KK13456777統一超商總公司                                              22555003  台北市xx區xx街xx號                                                                                  2010/12/05        0000000000952G0001icash                                                       7205050315005614                                                7205050315005614                                                0141200000400000000000000YB
23285582  09912EE13456777萊爾富商總公司                                              23285582  台北市X同XX里XX街X段XX號X樓                                                                         2010/12/19        0000000000751K0001悠遊卡                                                      3273953823                                                      2331669899                                                      0240200000400000000000000YB
22555003  09912KK12456717統一超商總公司                                              22555003  台北市xx區xx街xx號                                                                                  2010/12/05        0000000000951K0001悠遊卡                                                      3333333333                                                      1343299999                                                      0141300000100000000000000NB
23285582  09912EE12456717萊爾富商總公司                                              23285582  台北市X同XX里XX街X段XX號X樓                                                                         2010/12/19        000000000075CG0001Hi-Life會員卡                                               MAC0000104811                                                   MAC0000104811                                                   0240300000100000000000000NX
16740494  09912VV12456717全聯超商總公司                                              16740494  台北市松山區xx街xx號                                                                                2010/12/05        000000000346BG0001全聯福利卡TEST                                              1231235678                                                      1231235678                                                      0141300000100000000000000NX
